                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.80297,                  2.159,                 1.0538,                0.91947,                 0.6574,                0.88717,                0.70729,                0.71104,                 1.7075,                0.91999,                 0.0712,                 0.0032,                 0.0032
                      1,                0.78253,                0.90516,                0.96631,                 0.9489,                0.77007,                0.93287,                0.74321,                0.77293,                 1.5748,                0.91624,               0.041474,              0.0064743,              0.0064743
                      2,                0.84805,                0.82738,                0.98055,                0.89042,                0.89608,                0.95535,                0.75865,                0.78979,                 1.0579,                0.92665,               0.011722,              0.0097224,              0.0097224
                      3,                0.85454,                0.80571,                0.98341,                0.88905,                0.91387,                0.95568,                   0.76,                 0.7609,                0.81434,                0.93582,              0.0098812,              0.0098812,              0.0098812
                      4,                  0.805,                0.78068,                0.97523,                0.89859,                0.92366,                0.96599,                0.79765,                0.68803,                0.72507,                0.90748,              0.0098812,              0.0098812,              0.0098812
                      5,                0.78261,                0.73927,                0.97422,                0.89823,                0.92978,                0.96552,                0.78718,                0.69875,                0.65227,                0.90554,              0.0098416,              0.0098416,              0.0098416
                      6,                0.77894,                0.71496,                0.97115,                0.91394,                0.91659,                0.96658,                0.77965,                0.69774,                0.69206,                0.92178,               0.009802,               0.009802,               0.009802
                      7,                0.75608,                0.68222,                0.95985,                0.91873,                0.93544,                0.97353,                0.81685,                0.63311,                0.61115,                0.90654,              0.0097624,              0.0097624,              0.0097624
                      8,                0.73746,                0.66427,                0.95651,                0.91471,                0.93544,                0.97061,                0.79484,                0.69777,                0.61003,                0.91684,              0.0097228,              0.0097228,              0.0097228
                      9,                0.72614,                0.63488,                0.94931,                0.92424,                0.92563,                0.97166,                0.82027,                0.62443,                0.57949,                0.89412,              0.0096832,              0.0096832,              0.0096832
                     10,                0.71788,                0.61905,                0.94631,                0.92369,                 0.9298,                0.97677,                0.83256,                0.59742,                  0.554,                0.88574,              0.0096436,              0.0096436,              0.0096436
                     11,                0.71143,                0.60049,                0.94497,                0.92429,                0.92624,                0.96709,                0.80196,                0.62166,                0.57156,                0.90433,               0.009604,               0.009604,               0.009604
                     12,                0.69618,                0.58944,                 0.9411,                0.93228,                0.94063,                0.97646,                0.83573,                0.57375,                0.50971,                0.89232,              0.0095644,              0.0095644,              0.0095644
                     13,                0.69851,                0.57237,                 0.9419,                0.94276,                0.92365,                 0.9785,                0.83532,                0.60559,                0.51141,                0.89465,              0.0095248,              0.0095248,              0.0095248
                     14,                0.68548,                0.55057,                0.94055,                0.92712,                0.93638,                0.97694,                0.83213,                0.60266,                0.51048,                0.89142,              0.0094852,              0.0094852,              0.0094852
                     15,                0.67735,                  0.556,                0.93713,                0.93066,                0.94881,                0.98097,                0.85271,                0.55051,                 0.4737,                0.87795,              0.0094456,              0.0094456,              0.0094456
                     16,                0.67189,                0.55391,                0.92932,                0.94645,                0.94126,                0.98357,                0.84534,                0.57969,                0.48454,                0.88529,               0.009406,               0.009406,               0.009406
                     17,                0.66598,                0.53271,                0.93711,                0.94059,                0.95523,                0.98537,                0.84787,                0.58063,                0.46818,                0.88336,              0.0093664,              0.0093664,              0.0093664
                     18,                0.66061,                0.51689,                0.93077,                0.92515,                0.94946,                0.97964,                0.83788,                0.59874,                 0.4797,                0.88819,              0.0093268,              0.0093268,              0.0093268
                     19,                0.65788,                0.53093,                0.92619,                0.93478,                0.95853,                 0.9831,                0.85289,                0.56152,                0.45585,                0.88329,              0.0092872,              0.0092872,              0.0092872
                     20,                0.66311,                0.50624,                0.93703,                0.94231,                0.94678,                 0.9848,                0.86205,                0.53282,                0.42347,                0.87837,              0.0092476,              0.0092476,              0.0092476
                     21,                0.65205,                0.51542,                0.92849,                0.94604,                0.94533,                0.98338,                0.85674,                0.54234,                0.43217,                0.88024,               0.009208,               0.009208,               0.009208
                     22,                0.64901,                0.50166,                0.92986,                0.93259,                0.95189,                0.98216,                0.84443,                0.55724,                0.44081,                0.88331,              0.0091684,              0.0091684,              0.0091684
                     23,                0.65641,                0.49214,                0.92733,                0.94108,                0.94844,                0.98339,                0.85716,                0.55366,                0.43266,                0.87458,              0.0091288,              0.0091288,              0.0091288
                     24,                0.64357,                0.49291,                0.92373,                0.94305,                0.94416,                0.98329,                0.86051,                 0.5355,                0.43388,                0.87432,              0.0090892,              0.0090892,              0.0090892
                     25,                0.62592,                 0.4889,                0.91814,                0.94763,                0.94648,                0.98392,                0.86383,                0.52632,                0.43406,                0.86864,              0.0090496,              0.0090496,              0.0090496
                     26,                0.63726,                0.49138,                0.92368,                0.94575,                0.95287,                0.98539,                0.86282,                0.53527,                0.41121,                0.87261,                0.00901,                0.00901,                0.00901
                     27,                0.63652,                0.47977,                 0.9229,                0.94379,                0.95193,                 0.9838,                0.86578,                0.50741,                0.41519,                0.87079,              0.0089704,              0.0089704,              0.0089704
                     28,                0.63855,                0.47404,                0.91805,                 0.9513,                0.95099,                 0.9864,                0.86843,                0.52862,                0.40458,                0.86813,              0.0089308,              0.0089308,              0.0089308
                     29,                0.61894,                0.46995,                0.91389,                0.95598,                0.95178,                0.98664,                0.87012,                0.50925,                0.40625,                0.86774,              0.0088912,              0.0088912,              0.0088912
                     30,                0.62129,                0.48009,                0.91838,                0.94703,                0.95207,                0.98621,                0.87107,                 0.5235,                0.40753,                0.87128,              0.0088516,              0.0088516,              0.0088516
                     31,                0.63678,                0.46366,                0.91981,                0.94533,                0.95335,                0.98568,                0.86419,                0.53343,                0.40558,                0.87203,               0.008812,               0.008812,               0.008812
                     32,                0.62303,                0.45386,                0.91487,                0.94558,                0.96631,                0.98671,                0.87219,                0.50925,                0.39529,                0.86717,              0.0087724,              0.0087724,              0.0087724
                     33,                0.61468,                0.45662,                0.91919,                0.94365,                0.95712,                0.98452,                0.86111,                 0.5184,                0.39847,                0.87027,              0.0087328,              0.0087328,              0.0087328
                     34,                0.60688,                0.46544,                 0.9131,                0.94792,                  0.952,                 0.9856,                0.86085,                0.50937,                0.40297,                0.86822,              0.0086932,              0.0086932,              0.0086932
                     35,                0.61621,                0.44925,                0.91501,                0.93728,                0.95783,                 0.9846,                0.86552,                0.53284,                0.39991,                0.87229,              0.0086536,              0.0086536,              0.0086536
                     36,                 0.6083,                0.45133,                0.91475,                0.94512,                0.96577,                0.98764,                 0.8791,                0.50419,                0.38682,                0.86343,               0.008614,               0.008614,               0.008614
                     37,                0.60253,                0.43936,                0.91164,                 0.9573,                 0.9614,                0.98758,                0.87768,                0.50226,                0.38905,                0.86244,              0.0085744,              0.0085744,              0.0085744
                     38,                0.60141,                0.43734,                0.91395,                0.95737,                0.95255,                0.98822,                0.88309,                0.49833,                0.36573,                0.86404,              0.0085348,              0.0085348,              0.0085348
                     39,                0.59869,                0.43364,                0.91321,                0.95846,                0.95429,                0.98835,                0.87516,                0.50733,                0.37418,                0.86299,              0.0084952,              0.0084952,              0.0084952
                     40,                0.60394,                0.43426,                0.91519,                0.95843,                0.94525,                0.98695,                0.87562,                0.50677,                0.38271,                0.86548,              0.0084556,              0.0084556,              0.0084556
                     41,                0.59592,                0.44008,                0.91317,                0.95897,                  0.959,                0.98816,                0.88483,                0.49216,                0.36113,                0.85886,               0.008416,               0.008416,               0.008416
                     42,                0.58877,                0.43109,                0.90557,                0.96198,                0.95005,                0.98844,                0.88208,                0.48384,                0.36961,                0.85599,              0.0083764,              0.0083764,              0.0083764
                     43,                0.59271,                 0.4435,                0.90864,                0.96477,                 0.9491,                0.98759,                0.87972,                0.49192,                0.37141,                0.85773,              0.0083368,              0.0083368,              0.0083368
                     44,                 0.5889,                0.43273,                0.90958,                0.95196,                0.96178,                0.98499,                0.88222,                0.47039,                0.37875,                0.85845,              0.0082972,              0.0082972,              0.0082972
                     45,                0.60178,                0.42146,                0.90964,                 0.9555,                0.96121,                0.98835,                0.88648,                0.48061,                 0.3628,                 0.8544,              0.0082576,              0.0082576,              0.0082576
                     46,                0.58845,                0.42246,                0.90476,                0.95078,                0.96937,                0.98849,                0.88132,                0.49848,                0.35864,                0.85662,               0.008218,               0.008218,               0.008218
                     47,                0.59314,                 0.4171,                0.90912,                0.94663,                0.95298,                0.98477,                  0.884,                0.47338,                0.36959,                0.85138,              0.0081784,              0.0081784,              0.0081784
                     48,                0.58474,                0.42021,                 0.9051,                0.95146,                0.96982,                0.98897,                 0.8853,                0.49369,                0.35533,                0.85438,              0.0081388,              0.0081388,              0.0081388
                     49,                0.59269,                0.41289,                0.90909,                0.96497,                0.94767,                0.98844,                0.88557,                0.48775,                0.34895,                0.85826,              0.0080992,              0.0080992,              0.0080992
                     50,                0.58195,                0.41616,                0.90195,                0.96935,                0.95994,                0.99033,                0.89467,                0.46793,                0.34483,                0.84987,              0.0080596,              0.0080596,              0.0080596
                     51,                0.58781,                0.41643,                0.89776,                0.96243,                 0.9623,                0.98972,                0.87014,                0.54012,                0.35427,                0.87537,                0.00802,                0.00802,                0.00802
                     52,                0.58424,                0.40238,                0.90119,                0.95977,                0.96795,                0.98983,                0.89566,                0.46634,                 0.3376,                0.84816,              0.0079804,              0.0079804,              0.0079804
                     53,                0.57176,                0.40002,                0.89982,                0.96524,                0.96466,                0.99028,                0.90077,                 0.4517,                0.33078,                0.84399,              0.0079408,              0.0079408,              0.0079408
                     54,                0.58227,                0.40736,                0.90314,                0.96637,                0.97489,                0.99108,                0.89555,                0.46914,                0.32663,                0.84833,              0.0079012,              0.0079012,              0.0079012
